sunid	term	fdr	score
52954	UPA00026	0	0.11
53067	UPA00026	0	1.7
53167	UPA00026	0	0.66
53187	UPA00026	0	1.01
53213	UPA00026	0	0.26
53218	UPA00026	0	0.29
53223	UPA00026	0	1.49
53244	UPA00026	0	1.51
53254	UPA00026	0	0.81
53271	UPA00026	0	1.77
53300	UPA00026	0	0.16
53323	UPA00026	0	0.07
53328	UPA00026	0	0.4
53335	UPA00026	0	1.62
53383	UPA00026	0	2.44
53448	UPA00026	0	2.03
53474	UPA00026	0	0.92
53590	UPA00026	0	0.07
53597	UPA00026	0	0.46
53613	UPA00026	0	1.06
53623	UPA00026	0	1.51
53633	UPA00026	0	1.64
53639	UPA00026	0	0.7
53649	UPA00026	0	1.05
53659	UPA00026	0	1.21
53671	UPA00026	0	1.31
53681	UPA00026	0	0.71
53686	UPA00026	0	0.97
53697	UPA00026	0	1.27
53706	UPA00026	0	0.12
53720	UPA00026	0	1.48
53732	UPA00026	0	1.02
53738	UPA00026	0	0.26
53743	UPA00026	0	0.49
53748	UPA00026	0	1.07
53756	UPA00026	0	80.77
53784	UPA00026	0	0.64
53790	UPA00026	0	0.63
53795	UPA00026	0	0.75
53800	UPA00026	0	0.85
53807	UPA00026	0	0.68
53850	UPA00026	0	1.28
53901	UPA00026	0	1.22
53927	UPA00026	0	0.88
53955	UPA00026	0	0.58
54001	UPA00026	0	0.14
54106	UPA00026	0	0.1
54111	UPA00026	0	0.65
54197	UPA00026	0	0.29
54211	UPA00026	0	1.79
54236	UPA00026	0	0.29
54285	UPA00026	0	0.39
54292	UPA00026	0	0.35
54373	UPA00026	0	0.73
54427	UPA00026	0	0.29
54495	UPA00026	0	0.68
54506	UPA00026	0	0.8
54518	UPA00026	0	0.09
54593	UPA00026	0	0.38
54626	UPA00026	0	0.3
54631	UPA00026	0	0.33
54637	UPA00026	0	0.61
54665	UPA00026	0	0.11
54675	UPA00026	0	0.52
54680	UPA00026	0	0.38
54690	UPA00026	0	0.35
54695	UPA00026	0	0.67
54736	UPA00026	0	0.11
54782	UPA00026	0	0.86
54810	UPA00026	0	0.94
54826	UPA00026	0	1.24
54862	UPA00026	0	0.28
54909	UPA00026	0	0.37
54913	UPA00026	0	0.57
54928	UPA00026	0	0.09
54966	UPA00026	0	0.21
54975	UPA00026	0	0.12
54980	UPA00026	0	0.36
55021	UPA00026	0	0.64
55031	UPA00026	0	0.92
55035	UPA00026	0	0.32
55040	UPA00026	0	0.72
55048	UPA00026	0	0.28
55060	UPA00026	0	1.3
55073	UPA00026	0	0.14
55083	UPA00026	0	0.24
55088	UPA00026	0	0.25
55103	UPA00026	0	0.14
55112	UPA00026	0	0.15
55116	UPA00026	0	0.11
55124	UPA00026	0	0.55
55154	UPA00026	0	0.11
55205	UPA00026	0	1.39
55252	UPA00026	0	0.14
55298	UPA00026	0	0.14
55326	UPA00026	0	1.16
55331	UPA00026	0	0.13
55347	UPA00026	0	1.83
55424	UPA00026	0	0.2
55447	UPA00026	0	0.1
55469	UPA00026	0	0.13
55486	UPA00026	0	0.27
55545	UPA00026	0	0.11
55550	UPA00026	0	0.27
55620	UPA00026	0	1.12
55681	UPA00026	0	1.66
55718	UPA00026	0	0.11
55729	UPA00026	0	0.54
55781	UPA00026	0	0.28
55785	UPA00026	0	0.11
55811	UPA00026	0	0.43
55821	UPA00026	0	0.59
55831	UPA00026	0	0.82
55856	UPA00026	0	0.22
55904	UPA00026	0	0.1
55909	UPA00026	0	0.68
55931	UPA00026	0	0.46
55957	UPA00026	0	0.26
55961	UPA00026	0	0.33
55973	UPA00026	0	1.05
56003	UPA00026	0	0.11
56014	UPA00026	0	0.95
56024	UPA00026	0	0.14
56042	UPA00026	0	1.16
56059	UPA00026	0	1.79
56091	UPA00026	0	0.11
56104	UPA00026	0	0.89
56112	UPA00026	0	0.66
56176	UPA00026	0	0.92
56194	UPA00026	0	0.88
56199	UPA00026	0	0.26
56204	UPA00026	0	0.44
56214	UPA00026	0	0.11
56219	UPA00026	0	0.14
56235	UPA00026	0	0.67
56266	UPA00026	0	0.62
56276	UPA00026	0	0.61
56281	UPA00026	0	0.81
56300	UPA00026	0	0.58
56317	UPA00026	0	0.47
56322	UPA00026	0	0.42
56327	UPA00026	0	0.67
56425	UPA00026	0	0.36
56436	UPA00026	0	0.1
56507	UPA00026	0	0.19
56519	UPA00026	0	0.17
56524	UPA00026	0	0.13
56529	UPA00026	0	0.28
56534	UPA00026	0	0.26
56542	UPA00026	0	0.32
56601	UPA00026	0	0.37
56645	UPA00026	0	0.46
56655	UPA00026	0	156.34
56752	UPA00026	0	0.27
56784	UPA00026	0	0.9
56796	UPA00026	0	1.05
56801	UPA00026	0	0.64
56821	UPA00026	0	0.17
56988	UPA00026	0	0.15
57196	UPA00026	0	0.2
57424	UPA00026	0	0.07
57535	UPA00026	0	0.1
57561	UPA00026	0	0.1
57667	UPA00026	0	0.16
57774	UPA00026	0	0.23
57802	UPA00026	0	0.28
57825	UPA00026	0	0.07
57845	UPA00026	0	0.45
57850	UPA00026	0	1.34
57903	UPA00026	0	0.29
57933	UPA00026	0	0.1
57997	UPA00026	0	0.07
63380	UPA00026	0	0.56
63411	UPA00026	0	0.1
63418	UPA00026	0	0.6
63433	UPA00026	0	0.11
63446	UPA00026	0	0.09
63570	UPA00026	0	0.07
63737	UPA00026	0	0.27
63748	UPA00026	0	0.11
63829	UPA00026	0	0.17
63862	UPA00026	0	0.14
63867	UPA00026	0	0.2
