interpro	term
IPR000706	GO:0003942
IPR000708	GO:0004957
IPR000710	GO:0004252
IPR000711	GO:0046933
IPR000713	GO:0005524
IPR000714	GO:0008270
IPR000715	GO:0008963
IPR000717	GO:0005515
IPR000718	GO:0004222
IPR000719	GO:0004672
IPR000719	GO:0005524
IPR000720	GO:0004504
IPR000720	GO:0005507
IPR000722	GO:0003677
IPR000722	GO:0003899
IPR000725	GO:0004984
IPR000726	GO:0004568
IPR000727	GO:0005515
IPR000728	GO:0003824
IPR000730	GO:0003677
IPR000730	GO:0030337
IPR000734	GO:0003824
IPR000735	GO:0004938
IPR000737	GO:0004867
IPR000738	GO:0004812
IPR000738	GO:0005524
IPR000740	GO:0000774
IPR000740	GO:0042803
IPR000740	GO:0051087
IPR000741	GO:0004332
IPR000742	GO:0005515
IPR000743	GO:0004650
IPR000747	GO:0003677
IPR000748	GO:0003723
IPR000748	GO:0016866
IPR000751	GO:0004725
IPR000752	GO:0003725
IPR000754	GO:0003735
IPR000755	GO:0008237
IPR000755	GO:0016805
IPR000756	GO:0004143
IPR000757	GO:0004553
IPR000761	GO:0004980
IPR000762	GO:0008083
IPR000763	GO:0004096
IPR000763	GO:0004601
IPR000763	GO:0020037
IPR000766	GO:0008108
IPR000768	GO:0003956
IPR000770	GO:0003677
IPR000771	GO:0008270
IPR000771	GO:0016832
IPR000773	GO:0005129
IPR000773	GO:0008083
IPR000778	GO:0016491
IPR000779	GO:0005134
IPR000779	GO:0008083
IPR000780	GO:0008757
IPR000783	GO:0003677
IPR000783	GO:0003899
IPR000784	GO:0005198
IPR000787	GO:0004177
IPR000789	GO:0016538
IPR000792	GO:0003700
IPR000793	GO:0016820
IPR000795	GO:0003924
IPR000795	GO:0005525
IPR000796	GO:0008483
IPR000798	GO:0008092
IPR000799	GO:0008289
IPR000802	GO:0015105
IPR000805	GO:0016985
IPR000806	GO:0005093
IPR000807	GO:0004424
IPR000808	GO:0005524
IPR000810	GO:0004949
IPR000811	GO:0008184
IPR000812	GO:0008270
IPR000813	GO:0009055
IPR000814	GO:0003677
IPR000815	GO:0016491
IPR000815	GO:0050660
IPR000816	GO:0016920
IPR000818	GO:0003700
IPR000819	GO:0004177
IPR000820	GO:0004930
IPR000821	GO:0008784
IPR000823	GO:0004601
IPR000823	GO:0020037
IPR000824	GO:0003723
IPR000827	GO:0008009
IPR000829	GO:0004143
IPR000831	GO:0003700
IPR000832	GO:0004930
IPR000833	GO:0015066
IPR000834	GO:0004181
IPR000834	GO:0008270
IPR000835	GO:0003700
IPR000837	GO:0003677
IPR000838	GO:0003677
IPR000838	GO:0003700
IPR000838	GO:0016987
IPR000840	GO:0005198
IPR000841	GO:0004222
IPR000842	GO:0000287
IPR000842	GO:0004749
IPR000843	GO:0003700
IPR000844	GO:0005524
IPR000844	GO:0008281
IPR000845	GO:0003824
IPR000846	GO:0008839
IPR000847	GO:0003700
IPR000848	GO:0004930
IPR000848	GO:0030552
IPR000849	GO:0005215
IPR000850	GO:0005524
IPR000850	GO:0019205
IPR000851	GO:0003735
IPR000852	GO:0009044
IPR000855	GO:0004197
IPR000860	GO:0004418
IPR000863	GO:0008146
IPR000864	GO:0004867
IPR000866	GO:0016209
IPR000866	GO:0016491
IPR000867	GO:0005520
IPR000868	GO:0003824
IPR000869	GO:0005507
IPR000870	GO:0004413
IPR000870	GO:0005524
IPR000871	GO:0008800
IPR000872	GO:0016746
IPR000873	GO:0003824
IPR000876	GO:0003735
IPR000877	GO:0004867
IPR000878	GO:0008168
IPR000879	GO:0030250
IPR000883	GO:0004129
IPR000883	GO:0005506
IPR000883	GO:0009055
IPR000883	GO:0020037
IPR000885	GO:0005201
IPR000887	GO:0016829
IPR000888	GO:0008830
IPR000889	GO:0004602
IPR000890	GO:0016301
IPR000890	GO:0016774
IPR000891	GO:0003824
IPR000892	GO:0003735
IPR000897	GO:0005525
IPR000898	GO:0020037
IPR000903	GO:0004379
IPR000904	GO:0005086
IPR000907	GO:0016702
IPR000907	GO:0046872
IPR000908	GO:0003990
IPR000911	GO:0003735
IPR000912	GO:0005198
IPR000913	GO:0004995
IPR000914	GO:0005215
IPR000915	GO:0003735
IPR000917	GO:0008484
IPR000921	GO:0004969
IPR000922	GO:0030246
IPR000923	GO:0005507
IPR000923	GO:0009055
IPR000924	GO:0000166
IPR000924	GO:0005524
IPR000924	GO:0016876
IPR000926	GO:0003935
IPR000929	GO:0004952
IPR000930	GO:0004252
IPR000932	GO:0016168
IPR000933	GO:0004560
IPR000935	GO:0004930
IPR000936	GO:0005198
IPR000937	GO:0005198
IPR000940	GO:0008168
IPR000941	GO:0000287
IPR000941	GO:0004634
IPR000942	GO:0005198
IPR000943	GO:0003677
IPR000943	GO:0003700
IPR000943	GO:0016987
IPR000948	GO:0003735
IPR000951	GO:0009055
IPR000951	GO:0016491
IPR000957	GO:0008271
IPR000959	GO:0005515
